,principal component 1,principal component 2,name
81,-0.44299289143843945,0.1836395536498391,Circuit de Barcelona-Catalunya
82,-0.32881157197972577,0.15359805079171415,Circuit de Barcelona-Catalunya
83,-0.2662566479920224,0.24773096792453866,Circuit de Barcelona-Catalunya
84,-0.038045715679554594,-0.05658033255791234,Circuit de Barcelona-Catalunya
85,0.03769425858004492,0.005839234163230079,Circuit de Barcelona-Catalunya
86,0.04931515275028467,0.22248125836584395,Circuit de Barcelona-Catalunya
87,0.05581856165517623,0.4514321172031293,Circuit de Barcelona-Catalunya
88,0.05855911374731197,0.6894335897423789,Circuit de Barcelona-Catalunya
89,0.12779687143446952,0.7674926169405153,Circuit de Barcelona-Catalunya
90,-0.7339535151084683,0.6235117692153456,Circuit de Monaco
91,-0.7996391359643842,0.5369089626825544,Circuit de Monaco
